

"Alarm Records -- Query Alarm Logs"
"Save Time: 10/30/2013 10:17:04"
"User Name:khoand"
"
Occur in latest = 1hours.
Special status = NORMAL.
Time mode = NE time.
Log type = Generation log.
"

" ","Acknowledgement Status","Acknowledgement Time(ST)","Acknowledgement User","Additional Information","Alarm ID","Alarm Source","Arrive Time(ST)","Auto Clear","Clearance Status","Clearance Time(NT)","Clearance Type","Clearance User","Common Alarm Identifier","Equipment Alarm Serial Number","Link Name","Link Type","List Serial Number","Location Information","Log Serial Number","Log Type","Maintenance Region","MO Object","Name","NE Type","Object Instance Type","Occurrence Time(NT)","Operation Impact Flag","Severity","Special Status","Threshold Name","Type"
-,-,-,-,-,65085,BLABL1H/LACG06,10/30/2013 09:02:12,yes,Cleared,10/30/2013 09:02:15,normal clear, < NE operator > ,NA,672536,-,-,89891,"Cabinet No.=0, Subrack No.=0, Slot No.=19, Port No.=5, Board Type=UPEU, Site No.=22, Site Type=BTS3900 GSM, Site Name=LACG06",1285722,Generation log,-,LACG06,BTS Rectifier Failure,GBTS,-,10/30/2013 09:02:09,-,Major,NORMAL,-,Environment system
-,-,-,-,-,65085,BLABL1H/LACG06,10/30/2013 09:02:33,yes,Cleared,10/30/2013 09:02:36,normal clear, < NE operator > ,NA,672537,-,-,89891,"Cabinet No.=0, Subrack No.=0, Slot No.=19, Port No.=5, Board Type=UPEU, Site No.=22, Site Type=BTS3900 GSM, Site Name=LACG06",1285723,Generation log,-,LACG06,BTS Rectifier Failure,GBTS,-,10/30/2013 09:02:30,-,Major,NORMAL,-,Environment system
-,-,-,-,-,65090,BLATA2H/LAHO40,10/30/2013 09:03:10,yes,Cleared,10/30/2013 09:03:13,normal clear, < NE operator > ,NA,281209,-,-,86220,"Cabinet No.=0, Subrack No.=0, Slot No.=19, Port No.=2, Board Type=UPEU, Site No.=59, Site Type=BTS3900 GSM, Site Name=LAHO40",1285724,Generation log,-,LAHO40,BTS Mains Failure,GBTS,-,10/30/2013 09:03:07,-,Critical,NORMAL,-,Environment system
-,-,-,-,-,21809,BLAMH1H,10/30/2013 09:03:18,yes,Cleared,10/30/2013 09:03:17,normal clear, < NE operator > ,NA,169737,-,-,91155,"Logical Subrack No.=0, Logical Slot No.=0, CBC Port No.=6000, CBC IP Address=10.151.89.82",1285725,Generation log,-,BLAMH1H,CBC Communication Fault,BSC6900 GSM,-,10/30/2013 09:03:16,-,Major,NORMAL,-,Communication system
-,-,-,-,-,21809,BLABL1H,10/30/2013 09:03:20,yes,Cleared,10/30/2013 09:03:22,normal clear, < NE operator > ,NA,672538,-,-,86630,"Logical Subrack No.=0, Logical Slot No.=0, CBC Port No.=6000, CBC IP Address=10.151.89.82",1285726,Generation log,-,BLABL1H,CBC Communication Fault,BSC6900 GSM,-,10/30/2013 09:03:21,-,Major,NORMAL,-,Communication system
-,-,-,-,-,21809,BLATA2H,10/30/2013 09:03:21,yes,Cleared,10/30/2013 09:03:22,normal clear, < NE operator > ,NA,281210,-,-,85153,"Logical Subrack No.=0, Logical Slot No.=0, CBC Port No.=6000, CBC IP Address=10.151.89.82",1285727,Generation log,-,BLATA2H,CBC Communication Fault,BSC6900 GSM,-,10/30/2013 09:03:21,-,Major,NORMAL,-,Communication system
-,-,-,-,-,21809,BLATA1H,10/30/2013 09:03:23,yes,Cleared,10/30/2013 09:03:22,normal clear, < NE operator > ,NA,103991,-,-,83789,"Logical Subrack No.=0, Logical Slot No.=0, CBC Port No.=6000, CBC IP Address=10.151.89.82",1285728,Generation log,-,BLATA1H,CBC Communication Fault,BSC6900 GSM,-,10/30/2013 09:03:21,-,Major,NORMAL,-,Communication system
-,-,-,-,-,65085,BLABL1H/LACG06,10/30/2013 09:03:30,yes,Cleared,10/30/2013 09:03:36,normal clear, < NE operator > ,NA,672539,-,-,89891,"Cabinet No.=0, Subrack No.=0, Slot No.=19, Port No.=5, Board Type=UPEU, Site No.=22, Site Type=BTS3900 GSM, Site Name=LACG06",1285729,Generation log,-,LACG06,BTS Rectifier Failure,GBTS,-,10/30/2013 09:03:27,-,Major,NORMAL,-,Environment system
-,-,-,-,-,21809,BLATA2H,10/30/2013 09:03:32,yes,Cleared,10/30/2013 09:03:37,normal clear, < NE operator > ,NA,281211,-,-,85153,"Logical Subrack No.=0, Logical Slot No.=0, CBC Port No.=6000, CBC IP Address=10.151.89.82",1285730,Generation log,-,BLATA2H,CBC Communication Fault,BSC6900 GSM,-,10/30/2013 09:03:31,-,Major,NORMAL,-,Communication system
-,-,-,-,-,65085,BLABL1H/LACG06,10/30/2013 09:03:45,yes,Cleared,10/30/2013 09:03:48,normal clear, < NE operator > ,NA,672540,-,-,89891,"Cabinet No.=0, Subrack No.=0, Slot No.=19, Port No.=5, Board Type=UPEU, Site No.=22, Site Type=BTS3900 GSM, Site Name=LACG06",1285731,Generation log,-,LACG06,BTS Rectifier Failure,GBTS,-,10/30/2013 09:03:42,-,Major,NORMAL,-,Environment system
