

"Alarm Records -- Query Alarm Logs"
"Save Time: 10/30/2013 10:17:04"
"User Name:khoand"
"
Occur in latest = 1hours.
Special status = NORMAL.
Time mode = NE time.
Log type = Generation log.
"

" ","Acknowledgement Status","Acknowledgement Time(ST)","Acknowledgement User","Additional Information","Alarm ID","Alarm Source","Arrive Time(ST)","Auto Clear","Clearance Status","Clearance Time(NT)","Clearance Type","Clearance User","Common Alarm Identifier","Equipment Alarm Serial Number","Link Name","Link Type","List Serial Number","Location Information","Log Serial Number","Log Type","Maintenance Region","MO Object","Name","NE Type","Object Instance Type","Occurrence Time(NT)","Operation Impact Flag","Severity","Special Status","Threshold Name","Type"
-,-,-,-,-,65087,BLABL1H/LACD18,10/30/2013 09:27:04,yes,Cleared,10/30/2013 09:27:20,normal clear, < NE operator > ,NA,672570,-,-,89541,"Cabinet No.=0, Subrack No.=0, Slot No.=18, Port No.=2, Board Type=UEIU, Site No.=51, Site Type=BTS3900 GSM, Site Name=LACD18",1285764,Generation log,-,LACD18,-,GBTS,-,10/30/2013 09:27:02,-,Major,NORMAL,-,Environment system
-,-,-,-,-,65087,BLABL1H/LACD18,10/30/2013 09:27:41,yes,Cleared,10/30/2013 09:28:23,normal clear, < NE operator > ,NA,672571,-,-,89541,"Cabinet No.=0, Subrack No.=0, Slot No.=18, Port No.=2, Board Type=UEIU, Site No.=51, Site Type=BTS3900 GSM, Site Name=LACD18",1285765,Generation log,-,LACD18,-,GBTS,-,10/30/2013 09:27:38,-,Major,NORMAL,-,Environment system
-,-,-,-,-,65085,BLABL1H/LACG06,10/30/2013 09:28:30,yes,Cleared,10/30/2013 09:28:36,normal clear, < NE operator > ,NA,672572,-,-,89891,"Cabinet No.=0, Subrack No.=0, Slot No.=19, Port No.=5, Board Type=UPEU, Site No.=22, Site Type=BTS3900 GSM, Site Name=LACG06",1285766,Generation log,-,LACG06,BTS Rectifier Failure,GBTS,-,10/30/2013 09:28:27,-,Major,NORMAL,-,Environment system
-,-,-,-,-,65087,BLABL1H/LACD18,10/30/2013 09:28:34,yes,Cleared,10/30/2013 09:29:08,normal clear, < NE operator > ,NA,672573,-,-,89541,"Cabinet No.=0, Subrack No.=0, Slot No.=18, Port No.=2, Board Type=UEIU, Site No.=51, Site Type=BTS3900 GSM, Site Name=LACD18",1285767,Generation log,-,LACD18,-,GBTS,-,10/30/2013 09:28:32,-,Major,NORMAL,-,Environment system
-,-,-,-,-,65085,BLABL1H/LACG06,10/30/2013 09:28:45,yes,Cleared,10/30/2013 09:28:48,normal clear, < NE operator > ,NA,672574,-,-,89891,"Cabinet No.=0, Subrack No.=0, Slot No.=19, Port No.=5, Board Type=UPEU, Site No.=22, Site Type=BTS3900 GSM, Site Name=LACG06",1285768,Generation log,-,LACG06,BTS Rectifier Failure,GBTS,-,10/30/2013 09:28:42,-,Major,NORMAL,-,Environment system
-,-,-,-,-,65087,BLABL1H/LACD18,10/30/2013 09:29:28,yes,Cleared,10/30/2013 09:34:59,normal clear, < NE operator > ,NA,672575,-,-,89541,"Cabinet No.=0, Subrack No.=0, Slot No.=18, Port No.=2, Board Type=UEIU, Site No.=51, Site Type=BTS3900 GSM, Site Name=LACD18",1285769,Generation log,-,LACD18,-,GBTS,-,10/30/2013 09:29:26,-,Major,NORMAL,-,Environment system
-,-,-,-,-,65085,BLABL1H/LACG06,10/30/2013 09:29:33,yes,Cleared,10/30/2013 09:29:36,normal clear, < NE operator > ,NA,672576,-,-,89891,"Cabinet No.=0, Subrack No.=0, Slot No.=19, Port No.=5, Board Type=UPEU, Site No.=22, Site Type=BTS3900 GSM, Site Name=LACG06",1285770,Generation log,-,LACG06,BTS Rectifier Failure,GBTS,-,10/30/2013 09:29:30,-,Major,NORMAL,-,Environment system
-,-,-,-,-,65085,BLABL1H/LACG06,10/30/2013 09:29:57,yes,Cleared,10/30/2013 09:30:00,normal clear, < NE operator > ,NA,672577,-,-,89891,"Cabinet No.=0, Subrack No.=0, Slot No.=19, Port No.=5, Board Type=UPEU, Site No.=22, Site Type=BTS3900 GSM, Site Name=LACG06",1285771,Generation log,-,LACG06,BTS Rectifier Failure,GBTS,-,10/30/2013 09:29:54,-,Major,NORMAL,-,Environment system
-,-,-,-,-,65085,BLABL1H/LACG06,10/30/2013 09:30:15,yes,Cleared,10/30/2013 09:30:21,normal clear, < NE operator > ,NA,672578,-,-,89891,"Cabinet No.=0, Subrack No.=0, Slot No.=19, Port No.=5, Board Type=UPEU, Site No.=22, Site Type=BTS3900 GSM, Site Name=LACG06",1285772,Generation log,-,LACG06,BTS Rectifier Failure,GBTS,-,10/30/2013 09:30:12,-,Major,NORMAL,-,Environment system
-,-,-,-,-,65085,BLABL1H/LACG06,10/30/2013 09:31:03,yes,Cleared,10/30/2013 09:31:06,normal clear, < NE operator > ,NA,672579,-,-,89891,"Cabinet No.=0, Subrack No.=0, Slot No.=19, Port No.=5, Board Type=UPEU, Site No.=22, Site Type=BTS3900 GSM, Site Name=LACG06",1285773,Generation log,-,LACG06,BTS Rectifier Failure,GBTS,-,10/30/2013 09:31:00,-,Major,NORMAL,-,Environment system
-,-,-,-,-,65085,BLABL1H/LACG06,10/30/2013 09:32:06,yes,Cleared,10/30/2013 09:32:09,normal clear, < NE operator > ,NA,672580,-,-,89891,"Cabinet No.=0, Subrack No.=0, Slot No.=19, Port No.=5, Board Type=UPEU, Site No.=22, Site Type=BTS3900 GSM, Site Name=LACG06",1285774,Generation log,-,LACG06,BTS Rectifier Failure,GBTS,-,10/30/2013 09:32:03,-,Major,NORMAL,-,Environment system
-,-,-,-,-,65085,BLABL1H/LACG06,10/30/2013 09:32:27,yes,Cleared,10/30/2013 09:32:33,normal clear, < NE operator > ,NA,672581,-,-,89891,"Cabinet No.=0, Subrack No.=0, Slot No.=19, Port No.=5, Board Type=UPEU, Site No.=22, Site Type=BTS3900 GSM, Site Name=LACG06",1285775,Generation log,-,LACG06,BTS Rectifier Failure,GBTS,-,10/30/2013 09:32:24,-,Major,NORMAL,-,Environment system
-,-,-,-,-,65085,BLABL1H/LACG06,10/30/2013 09:33:06,yes,Cleared,10/30/2013 09:33:09,normal clear, < NE operator > ,NA,672582,-,-,89891,"Cabinet No.=0, Subrack No.=0, Slot No.=19, Port No.=5, Board Type=UPEU, Site No.=22, Site Type=BTS3900 GSM, Site Name=LACG06",1285776,Generation log,-,LACG06,BTS Rectifier Failure,GBTS,-,10/30/2013 09:33:03,-,Major,NORMAL,-,Environment system
-,-,-,-,-,65085,BLABL1H/LACG06,10/30/2013 09:33:30,yes,Cleared,10/30/2013 09:33:39,normal clear, < NE operator > ,NA,672583,-,-,89891,"Cabinet No.=0, Subrack No.=0, Slot No.=19, Port No.=5, Board Type=UPEU, Site No.=22, Site Type=BTS3900 GSM, Site Name=LACG06",1285777,Generation log,-,LACG06,BTS Rectifier Failure,GBTS,-,10/30/2013 09:33:27,-,Major,NORMAL,-,Environment system
-,-,-,-,-,65085,BLABL1H/LACG06,10/30/2013 09:35:06,yes,Cleared,10/30/2013 09:35:09,normal clear, < NE operator > ,NA,672584,-,-,89891,"Cabinet No.=0, Subrack No.=0, Slot No.=19, Port No.=5, Board Type=UPEU, Site No.=22, Site Type=BTS3900 GSM, Site Name=LACG06",1285778,Generation log,-,LACG06,BTS Rectifier Failure,GBTS,-,10/30/2013 09:35:03,-,Major,NORMAL,-,Environment system
-,-,-,-,-,65087,BLABL1H/LACD18,10/30/2013 09:35:10,yes,Cleared,10/30/2013 09:36:17,normal clear, < NE operator > ,NA,672585,-,-,89541,"Cabinet No.=0, Subrack No.=0, Slot No.=18, Port No.=2, Board Type=UEIU, Site No.=51, Site Type=BTS3900 GSM, Site Name=LACD18",1285779,Generation log,-,LACD18,-,GBTS,-,10/30/2013 09:35:08,-,Major,NORMAL,-,Environment system
-,-,-,-,-,65085,BLABL1H/LACG06,10/30/2013 09:35:54,yes,Cleared,10/30/2013 09:35:57,normal clear, < NE operator > ,NA,672586,-,-,89891,"Cabinet No.=0, Subrack No.=0, Slot No.=19, Port No.=5, Board Type=UPEU, Site No.=22, Site Type=BTS3900 GSM, Site Name=LACG06",1285780,Generation log,-,LACG06,BTS Rectifier Failure,GBTS,-,10/30/2013 09:35:51,-,Major,NORMAL,-,Environment system
-,-,-,-,-,65085,BLABL1H/LACG06,10/30/2013 09:36:09,yes,Cleared,10/30/2013 09:36:15,normal clear, < NE operator > ,NA,672587,-,-,89891,"Cabinet No.=0, Subrack No.=0, Slot No.=19, Port No.=5, Board Type=UPEU, Site No.=22, Site Type=BTS3900 GSM, Site Name=LACG06",1285781,Generation log,-,LACG06,BTS Rectifier Failure,GBTS,-,10/30/2013 09:36:06,-,Major,NORMAL,-,Environment system
-,-,-,-,-,65087,BLABL1H/LACD18,10/30/2013 09:36:31,yes,Cleared,10/30/2013 09:36:56,normal clear, < NE operator > ,NA,672588,-,-,89541,"Cabinet No.=0, Subrack No.=0, Slot No.=18, Port No.=2, Board Type=UEIU, Site No.=51, Site Type=BTS3900 GSM, Site Name=LACD18",1285782,Generation log,-,LACD18,-,GBTS,-,10/30/2013 09:36:29,-,Major,NORMAL,-,Environment system
-,-,-,-,-,65087,BLABL1H/LACD18,10/30/2013 09:37:13,yes,Cleared,10/30/2013 09:45:32,normal clear, < NE operator > ,NA,672589,-,-,89541,"Cabinet No.=0, Subrack No.=0, Slot No.=18, Port No.=2, Board Type=UEIU, Site No.=51, Site Type=BTS3900 GSM, Site Name=LACD18",1285783,Generation log,-,LACD18,-,GBTS,-,10/30/2013 09:37:11,-,Major,NORMAL,-,Environment system
-,-,-,-,-,25673,BLAMH1H/LATN15,10/30/2013 09:38:37,yes,Cleared,10/30/2013 09:56:36,normal clear, < NE operator > ,NA,169739,-,-,42026,"Cabinet No.=0, Subrack No.=11, Slot No.=0, Fan No.=Main fan, Board Type=FMU, Site No.=76, Site Type=BTS3900 GSM, Site Name=LATN15",1285784,Generation log,-,LATN15,Fan Stalled,GBTS,-,10/30/2013 09:38:33,-,Major,NORMAL,-,Hardware system
-,-,-,-,-,65085,BLABL1H/LACG06,10/30/2013 09:38:39,yes,Cleared,10/30/2013 09:38:42,normal clear, < NE operator > ,NA,672590,-,-,89891,"Cabinet No.=0, Subrack No.=0, Slot No.=19, Port No.=5, Board Type=UPEU, Site No.=22, Site Type=BTS3900 GSM, Site Name=LACG06",1285785,Generation log,-,LACG06,BTS Rectifier Failure,GBTS,-,10/30/2013 09:38:36,-,Major,NORMAL,-,Environment system
-,-,-,-,-,65085,BLABL1H/LACG06,10/30/2013 09:39:06,yes,Cleared,10/30/2013 09:39:09,normal clear, < NE operator > ,NA,672591,-,-,89891,"Cabinet No.=0, Subrack No.=0, Slot No.=19, Port No.=5, Board Type=UPEU, Site No.=22, Site Type=BTS3900 GSM, Site Name=LACG06",1285786,Generation log,-,LACG06,BTS Rectifier Failure,GBTS,-,10/30/2013 09:39:03,-,Major,NORMAL,-,Environment system
-,-,-,-,-,20801,BLAMH1H/LATN17,10/30/2013 09:40:45,yes,Cleared,10/30/2013 09:43:43,normal clear, < NE operator > ,NA,169740,-,-,64820,"Site No.=78, Flash Alarm Parameter=(Alarm ID=5292,Site No.=78,Board Type=DDPU,Board No.=5,PassNo=255,SubLink No.=255,CellNo=65535,Site Type=BTS3012,RackNo=255,BoxNo=255,SlotNo=255,Site Name=LATN17), Flash Alarm Accumulative Times=9, Flash Alarm Accumulative Duration=154",1285787,Generation log,-,LATN17,BTS Statistical Alarm,GBTS,-,10/30/2013 09:40:45,-,Minor,NORMAL,-,Running system
-,-,-,-,-,65085,BLABL1H/LACG06,10/30/2013 09:41:00,yes,Cleared,10/30/2013 09:41:06,normal clear, < NE operator > ,NA,672592,-,-,89891,"Cabinet No.=0, Subrack No.=0, Slot No.=19, Port No.=5, Board Type=UPEU, Site No.=22, Site Type=BTS3900 GSM, Site Name=LACG06",1285788,Generation log,-,LACG06,BTS Rectifier Failure,GBTS,-,10/30/2013 09:40:57,-,Major,NORMAL,-,Environment system
-,-,-,-,-,65085,BLABL1H/LACG06,10/30/2013 09:43:06,yes,Cleared,10/30/2013 09:43:09,normal clear, < NE operator > ,NA,672593,-,-,89891,"Cabinet No.=0, Subrack No.=0, Slot No.=19, Port No.=5, Board Type=UPEU, Site No.=22, Site Type=BTS3900 GSM, Site Name=LACG06",1285789,Generation log,-,LACG06,BTS Rectifier Failure,GBTS,-,10/30/2013 09:43:03,-,Major,NORMAL,-,Environment system
-,-,-,-,-,65085,BLABL1H/LACG06,10/30/2013 09:43:33,yes,Cleared,10/30/2013 09:43:36,normal clear, < NE operator > ,NA,672594,-,-,89891,"Cabinet No.=0, Subrack No.=0, Slot No.=19, Port No.=5, Board Type=UPEU, Site No.=22, Site Type=BTS3900 GSM, Site Name=LACG06",1285790,Generation log,-,LACG06,BTS Rectifier Failure,GBTS,-,10/30/2013 09:43:30,-,Major,NORMAL,-,Environment system
-,-,-,-,-,65085,BLABL1H/LACG06,10/30/2013 09:44:12,yes,Cleared,10/30/2013 09:44:15,normal clear, < NE operator > ,NA,672595,-,-,89891,"Cabinet No.=0, Subrack No.=0, Slot No.=19, Port No.=5, Board Type=UPEU, Site No.=22, Site Type=BTS3900 GSM, Site Name=LACG06",1285791,Generation log,-,LACG06,BTS Rectifier Failure,GBTS,-,10/30/2013 09:44:09,-,Major,NORMAL,-,Environment system
-,-,-,-,-,65090,BLATA2H/LAHO40,10/30/2013 09:44:19,yes,Cleared,10/30/2013 09:44:23,normal clear, < NE operator > ,NA,281213,-,-,86220,"Cabinet No.=0, Subrack No.=0, Slot No.=19, Port No.=2, Board Type=UPEU, Site No.=59, Site Type=BTS3900 GSM, Site Name=LAHO40",1285792,Generation log,-,LAHO40,BTS Mains Failure,GBTS,-,10/30/2013 09:44:17,-,Critical,NORMAL,-,Environment system
-,-,-,-,-,65085,BLABL1H/LACG06,10/30/2013 09:44:30,yes,Cleared,10/30/2013 09:44:36,normal clear, < NE operator > ,NA,672596,-,-,89891,"Cabinet No.=0, Subrack No.=0, Slot No.=19, Port No.=5, Board Type=UPEU, Site No.=22, Site Type=BTS3900 GSM, Site Name=LACG06",1285793,Generation log,-,LACG06,BTS Rectifier Failure,GBTS,-,10/30/2013 09:44:27,-,Major,NORMAL,-,Environment system
-,-,-,-,-,65085,BLABL1H/LACG06,10/30/2013 09:44:45,yes,Cleared,10/30/2013 09:44:48,normal clear, < NE operator > ,NA,672597,-,-,89891,"Cabinet No.=0, Subrack No.=0, Slot No.=19, Port No.=5, Board Type=UPEU, Site No.=22, Site Type=BTS3900 GSM, Site Name=LACG06",1285794,Generation log,-,LACG06,BTS Rectifier Failure,GBTS,-,10/30/2013 09:44:42,-,Major,NORMAL,-,Environment system
-,-,-,-,-,65388,BLATA2H/LAHO16,10/30/2013 09:44:58,yes,Cleared,10/30/2013 10:07:15,normal clear, < NE operator > ,NA,281214,-,-,89441,"Site No.=28, Board Type=DTMU, Board No.=0, PassNo=255, SubLink No.=255, CellNo=65535, Site Type=BTS3012, RackNo=255, BoxNo=255, SlotNo=255, Site Name=LAHO16",1285795,Generation log,-,LAHO16,-,GBTS,-,10/30/2013 09:44:57,-,Major,NORMAL,-,Environment system
-,-,-,-,-,65087,BLABL1H/LACD18,10/30/2013 09:45:46,yes,Cleared,10/30/2013 09:48:02,normal clear, < NE operator > ,NA,672598,-,-,89541,"Cabinet No.=0, Subrack No.=0, Slot No.=18, Port No.=2, Board Type=UEIU, Site No.=51, Site Type=BTS3900 GSM, Site Name=LACD18",1285796,Generation log,-,LACD18,-,GBTS,-,10/30/2013 09:45:44,-,Major,NORMAL,-,Environment system
-,-,-,-,-,21204,BLATA1H,10/30/2013 09:45:54,yes,Cleared,10/30/2013 09:45:55,normal clear, < NE operator > ,NA,103993,-,-,33932,"Subrack No.=1, Slot No.=23, Subsystem No.=0, E1/T1 Port No.=0, BTS ID=20, BTS Name=LATA07, Remark=0",1285797,Generation log,-,"Slot No.=23, Subrack No=1, Subsystem No.=0",E1/T1 Alarm Indication Signal,BSC6900 GSM,-,10/30/2013 09:45:51,-,Minor,NORMAL,-,Trunk system
-,-,-,-,-,21204,BLATA1H,10/30/2013 09:45:55,yes,Cleared,10/30/2013 09:45:55,normal clear, < NE operator > ,NA,103994,-,-,33866,"Subrack No.=0, Slot No.=24, Subsystem No.=0, E1/T1 Port No.=4, BTS ID=34, BTS Name=LATA08, Remark=0",1285798,Generation log,-,"Slot No.=24, Subrack No=0, Subsystem No.=0",E1/T1 Alarm Indication Signal,BSC6900 GSM,-,10/30/2013 09:45:51,-,Minor,NORMAL,-,Trunk system
-,-,-,-,-,21204,BLATA1H,10/30/2013 09:45:55,yes,Cleared,10/30/2013 09:45:55,normal clear, < NE operator > ,NA,103995,-,-,33933,"Subrack No.=1, Slot No.=23, Subsystem No.=0, E1/T1 Port No.=2, BTS ID=20, BTS Name=LATA07, Remark=0",1285799,Generation log,-,"Slot No.=23, Subrack No=1, Subsystem No.=0",E1/T1 Alarm Indication Signal,BSC6900 GSM,-,10/30/2013 09:45:51,-,Minor,NORMAL,-,Trunk system
-,-,-,-,-,21204,BLATA1H,10/30/2013 09:45:55,yes,Cleared,10/30/2013 09:45:55,normal clear, < NE operator > ,NA,103996,-,-,33867,"Subrack No.=0, Slot No.=24, Subsystem No.=0, E1/T1 Port No.=6, BTS ID=34, BTS Name=LATA08, Remark=0",1285800,Generation log,-,"Slot No.=24, Subrack No=0, Subsystem No.=0",E1/T1 Alarm Indication Signal,BSC6900 GSM,-,10/30/2013 09:45:51,-,Minor,NORMAL,-,Trunk system
-,-,-,-,-,21204,BLATA1H,10/30/2013 09:45:55,yes,Cleared,10/30/2013 09:45:56,normal clear, < NE operator > ,NA,103997,-,-,33972,"Subrack No.=0, Slot No.=18, Subsystem No.=0, E1/T1 Port No.=4, BTS ID=2, BTS Name=LATA04, Remark=0",1285801,Generation log,-,"Slot No.=18, Subrack No=0, Subsystem No.=0",E1/T1 Alarm Indication Signal,BSC6900 GSM,-,10/30/2013 09:45:52,-,Minor,NORMAL,-,Trunk system
-,-,-,-,-,21204,BLATA1H,10/30/2013 09:45:55,yes,Cleared,10/30/2013 09:45:55,normal clear, < NE operator > ,NA,103998,-,-,33934,"Subrack No.=1, Slot No.=23, Subsystem No.=0, E1/T1 Port No.=3, BTS ID=20, BTS Name=LATA07, Remark=0",1285802,Generation log,-,"Slot No.=23, Subrack No=1, Subsystem No.=0",E1/T1 Alarm Indication Signal,BSC6900 GSM,-,10/30/2013 09:45:51,-,Minor,NORMAL,-,Trunk system
-,-,-,-,-,21204,BLATA1H,10/30/2013 09:45:55,yes,Cleared,10/30/2013 09:45:55,normal clear, < NE operator > ,NA,103999,-,-,33868,"Subrack No.=0, Slot No.=24, Subsystem No.=0, E1/T1 Port No.=7, BTS ID=34, BTS Name=LATA08, Remark=0",1285803,Generation log,-,"Slot No.=24, Subrack No=0, Subsystem No.=0",E1/T1 Alarm Indication Signal,BSC6900 GSM,-,10/30/2013 09:45:51,-,Minor,NORMAL,-,Trunk system
-,-,-,-,-,21204,BLATA1H,10/30/2013 09:45:55,yes,Cleared,10/30/2013 09:45:56,normal clear, < NE operator > ,NA,104000,-,-,33974,"Subrack No.=0, Slot No.=18, Subsystem No.=0, E1/T1 Port No.=6, BTS ID=2, BTS Name=LATA04, Remark=0",1285804,Generation log,-,"Slot No.=18, Subrack No=0, Subsystem No.=0",E1/T1 Alarm Indication Signal,BSC6900 GSM,-,10/30/2013 09:45:52,-,Minor,NORMAL,-,Trunk system
-,-,-,-,-,21204,BLATA1H,10/30/2013 09:45:55,yes,Cleared,10/30/2013 09:45:56,normal clear, < NE operator > ,NA,104001,-,-,33976,"Subrack No.=0, Slot No.=18, Subsystem No.=0, E1/T1 Port No.=7, BTS ID=2, BTS Name=LATA04, Remark=0",1285805,Generation log,-,"Slot No.=18, Subrack No=0, Subsystem No.=0",E1/T1 Alarm Indication Signal,BSC6900 GSM,-,10/30/2013 09:45:52,-,Minor,NORMAL,-,Trunk system
-,-,-,-,-,21204,BLATA1H,10/30/2013 09:45:55,yes,Cleared,10/30/2013 09:45:56,normal clear, < NE operator > ,NA,104002,-,-,33992,"Subrack No.=0, Slot No.=18, Subsystem No.=0, E1/T1 Port No.=28, BTS ID=30, BTS Name=LATA24, Remark=0",1285806,Generation log,-,"Slot No.=18, Subrack No=0, Subsystem No.=0",E1/T1 Alarm Indication Signal,BSC6900 GSM,-,10/30/2013 09:45:52,-,Minor,NORMAL,-,Trunk system
-,-,-,-,-,21204,BLATA1H,10/30/2013 09:45:55,yes,Cleared,10/30/2013 09:45:56,normal clear, < NE operator > ,NA,104003,-,-,33993,"Subrack No.=0, Slot No.=18, Subsystem No.=0, E1/T1 Port No.=30, BTS ID=30, BTS Name=LATA24, Remark=0",1285807,Generation log,-,"Slot No.=18, Subrack No=0, Subsystem No.=0",E1/T1 Alarm Indication Signal,BSC6900 GSM,-,10/30/2013 09:45:52,-,Minor,NORMAL,-,Trunk system
-,-,-,-,-,21204,BLATA1H,10/30/2013 09:45:55,yes,Cleared,10/30/2013 09:45:56,normal clear, < NE operator > ,NA,104004,-,-,33994,"Subrack No.=0, Slot No.=18, Subsystem No.=0, E1/T1 Port No.=31, BTS ID=30, BTS Name=LATA24, Remark=0",1285808,Generation log,-,"Slot No.=18, Subrack No=0, Subsystem No.=0",E1/T1 Alarm Indication Signal,BSC6900 GSM,-,10/30/2013 09:45:52,-,Minor,NORMAL,-,Trunk system
-,-,-,-,-,21204,BLATA1H,10/30/2013 09:45:59,yes,Cleared,10/30/2013 09:46:00,normal clear, < NE operator > ,NA,104005,-,-,53426,"Subrack No.=1, Slot No.=22, Subsystem No.=0, E1/T1 Port No.=0, BTS ID=20, BTS Name=LATA07, Remark=0",1285809,Generation log,-,"Slot No.=22, Subrack No=1, Subsystem No.=0",E1/T1 Alarm Indication Signal,BSC6900 GSM,-,10/30/2013 09:45:53,-,Minor,NORMAL,-,Trunk system
-,-,-,-,-,21204,BLATA1H,10/30/2013 09:45:59,yes,Cleared,10/30/2013 09:46:00,normal clear, < NE operator > ,NA,104006,-,-,53404,"Subrack No.=0, Slot No.=25, Subsystem No.=0, E1/T1 Port No.=4, BTS ID=34, BTS Name=LATA08, Remark=0",1285810,Generation log,-,"Slot No.=25, Subrack No=0, Subsystem No.=0",E1/T1 Alarm Indication Signal,BSC6900 GSM,-,10/30/2013 09:45:53,-,Minor,NORMAL,-,Trunk system
-,-,-,-,-,21204,BLATA1H,10/30/2013 09:45:59,yes,Cleared,10/30/2013 09:46:00,normal clear, < NE operator > ,NA,104007,-,-,53427,"Subrack No.=1, Slot No.=22, Subsystem No.=0, E1/T1 Port No.=2, BTS ID=20, BTS Name=LATA07, Remark=0",1285811,Generation log,-,"Slot No.=22, Subrack No=1, Subsystem No.=0",E1/T1 Alarm Indication Signal,BSC6900 GSM,-,10/30/2013 09:45:53,-,Minor,NORMAL,-,Trunk system
-,-,-,-,-,21204,BLATA1H,10/30/2013 09:45:59,yes,Cleared,10/30/2013 09:46:00,normal clear, < NE operator > ,NA,104008,-,-,53406,"Subrack No.=0, Slot No.=25, Subsystem No.=0, E1/T1 Port No.=6, BTS ID=34, BTS Name=LATA08, Remark=0",1285812,Generation log,-,"Slot No.=25, Subrack No=0, Subsystem No.=0",E1/T1 Alarm Indication Signal,BSC6900 GSM,-,10/30/2013 09:45:53,-,Minor,NORMAL,-,Trunk system
-,-,-,-,-,21204,BLATA1H,10/30/2013 09:45:59,yes,Cleared,10/30/2013 09:46:00,normal clear, < NE operator > ,NA,104009,-,-,53428,"Subrack No.=1, Slot No.=22, Subsystem No.=0, E1/T1 Port No.=3, BTS ID=20, BTS Name=LATA07, Remark=0",1285813,Generation log,-,"Slot No.=22, Subrack No=1, Subsystem No.=0",E1/T1 Alarm Indication Signal,BSC6900 GSM,-,10/30/2013 09:45:53,-,Minor,NORMAL,-,Trunk system
-,-,-,-,-,21204,BLATA1H,10/30/2013 09:45:59,yes,Cleared,10/30/2013 09:46:00,normal clear, < NE operator > ,NA,104010,-,-,53407,"Subrack No.=0, Slot No.=25, Subsystem No.=0, E1/T1 Port No.=7, BTS ID=34, BTS Name=LATA08, Remark=0",1285814,Generation log,-,"Slot No.=25, Subrack No=0, Subsystem No.=0",E1/T1 Alarm Indication Signal,BSC6900 GSM,-,10/30/2013 09:45:53,-,Minor,NORMAL,-,Trunk system
-,-,-,-,-,21204,BLATA1H,10/30/2013 09:45:59,yes,Cleared,10/30/2013 09:46:01,normal clear, < NE operator > ,NA,104011,-,-,53405,"Subrack No.=0, Slot No.=19, Subsystem No.=0, E1/T1 Port No.=4, BTS ID=2, BTS Name=LATA04, Remark=0",1285815,Generation log,-,"Slot No.=19, Subrack No=0, Subsystem No.=0",E1/T1 Alarm Indication Signal,BSC6900 GSM,-,10/30/2013 09:45:54,-,Minor,NORMAL,-,Trunk system
-,-,-,-,-,21204,BLATA1H,10/30/2013 09:45:59,yes,Cleared,10/30/2013 09:46:01,normal clear, < NE operator > ,NA,104012,-,-,53408,"Subrack No.=0, Slot No.=19, Subsystem No.=0, E1/T1 Port No.=6, BTS ID=2, BTS Name=LATA04, Remark=0",1285816,Generation log,-,"Slot No.=19, Subrack No=0, Subsystem No.=0",E1/T1 Alarm Indication Signal,BSC6900 GSM,-,10/30/2013 09:45:54,-,Minor,NORMAL,-,Trunk system
-,-,-,-,-,21204,BLATA1H,10/30/2013 09:45:59,yes,Cleared,10/30/2013 09:46:01,normal clear, < NE operator > ,NA,104013,-,-,53409,"Subrack No.=0, Slot No.=19, Subsystem No.=0, E1/T1 Port No.=7, BTS ID=2, BTS Name=LATA04, Remark=0",1285817,Generation log,-,"Slot No.=19, Subrack No=0, Subsystem No.=0",E1/T1 Alarm Indication Signal,BSC6900 GSM,-,10/30/2013 09:45:54,-,Minor,NORMAL,-,Trunk system
-,-,-,-,-,21204,BLATA1H,10/30/2013 09:45:59,yes,Cleared,10/30/2013 09:46:01,normal clear, < NE operator > ,NA,104014,-,-,53410,"Subrack No.=0, Slot No.=19, Subsystem No.=0, E1/T1 Port No.=28, BTS ID=30, BTS Name=LATA24, Remark=0",1285818,Generation log,-,"Slot No.=19, Subrack No=0, Subsystem No.=0",E1/T1 Alarm Indication Signal,BSC6900 GSM,-,10/30/2013 09:45:54,-,Minor,NORMAL,-,Trunk system
-,-,-,-,-,21204,BLATA1H,10/30/2013 09:45:59,yes,Cleared,10/30/2013 09:46:01,normal clear, < NE operator > ,NA,104015,-,-,53411,"Subrack No.=0, Slot No.=19, Subsystem No.=0, E1/T1 Port No.=30, BTS ID=30, BTS Name=LATA24, Remark=0",1285819,Generation log,-,"Slot No.=19, Subrack No=0, Subsystem No.=0",E1/T1 Alarm Indication Signal,BSC6900 GSM,-,10/30/2013 09:45:54,-,Minor,NORMAL,-,Trunk system
-,-,-,-,-,21204,BLATA1H,10/30/2013 09:46:00,yes,Cleared,10/30/2013 09:46:01,normal clear, < NE operator > ,NA,104016,-,-,53412,"Subrack No.=0, Slot No.=19, Subsystem No.=0, E1/T1 Port No.=31, BTS ID=30, BTS Name=LATA24, Remark=0",1285820,Generation log,-,"Slot No.=19, Subrack No=0, Subsystem No.=0",E1/T1 Alarm Indication Signal,BSC6900 GSM,-,10/30/2013 09:45:54,-,Minor,NORMAL,-,Trunk system
